start,odd_start,compressed_length,exponent_word,exponent_sum,exponent_mean,exponent_one_count,exponent_one_ratio,net_log2_factor,max_odd_value
340,85,1,8,8,8.000000,0,0.000000,-6.415037,85
341,341,1,10,10,10.000000,0,0.000000,-8.415037,341
342,171,45,1 2 2 2 3 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,79,1.755556,24,0.533333,-7.676687,3077
343,343,45,1 1 4 2 3 2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,80,1.777778,25,0.555556,-8.676687,3077
344,43,9,1 2 2 4 1 1 2 3 4,20,2.222222,3,0.333333,-5.735337,65
345,345,45,2 1 4 2 1 1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,80,1.777778,25,0.555556,-8.676687,3077
346,173,9,3 2 2 4 1 1 2 3 4,22,2.444444,2,0.222222,-7.735337,173
347,347,45,1 2 1 1 2 6 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,80,1.777778,26,0.577778,-8.676687,3077
348,87,9,1 1 4 4 1 1 2 3 4,21,2.333333,4,0.444444,-6.735337,197
349,349,9,3 1 4 4 1 1 2 3 4,23,2.555556,3,0.333333,-8.735337,349
350,175,28,1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,52,1.857143,16,0.571429,-7.621050,3077
351,351,28,1 1 1 1 5 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,53,1.892857,17,0.607143,-8.621050,3077
352,11,4,1 2 3 4,10,2.500000,1,0.250000,-3.660150,17
353,353,45,2 2 1 1 2 2 3 1 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,80,1.777778,25,0.555556,-8.676687,3077
354,177,9,2 4 2 1 3 1 2 3 4,22,2.444444,2,0.222222,-7.735337,177
355,355,9,1 6 2 1 3 1 2 3 4,23,2.555556,3,0.333333,-8.735337,533
356,89,9,2 1 4 1 3 1 2 3 4,21,2.333333,3,0.333333,-6.735337,101
357,357,9,4 1 4 1 3 1 2 3 4,23,2.555556,3,0.333333,-8.735337,357
358,179,9,1 3 4 1 3 1 2 3 4,22,2.444444,3,0.333333,-7.735337,269
359,359,16,1 1 2 1 1 1 1 4 2 2 4 3 1 1 5 4,34,2.125000,8,0.500000,-8.640600,3077
360,45,4,3 2 3 4,12,3.000000,0,0.000000,-5.660150,45
361,361,14,2 1 1 1 6 1 2 2 4 1 1 2 3 4,31,2.214286,6,0.428571,-8.810525,917
362,181,4,5 2 3 4,14,3.500000,0,0.000000,-7.660150,181
363,363,14,1 2 2 1 3 3 2 2 4 1 1 2 3 4,31,2.214286,4,0.285714,-8.810525,545
