dimension,birth,death,persistence
1,1.5249999999999859e-05,3.5312500000000066e-05,2.0062500000000206e-05
1,1.3000000000000023e-05,3.294473634828296e-05,1.9944736348282937e-05
1,1.3000000000000023e-05,3.291420118343188e-05,1.991420118343186e-05
1,1.0250000000000019e-05,3.0160000000000206e-05,1.9910000000000187e-05
1,2.1250000000000035e-05,4.093449626201516e-05,1.9684496262015128e-05
1,1.800000000000003e-05,3.755688190995037e-05,1.955688190995034e-05
1,1.0000000000000018e-05,2.923875432525989e-05,1.923875432525987e-05
1,1.0000000000000018e-05,2.9238754325259526e-05,1.923875432525951e-05
1,1.0000000000000018e-05,2.9238754325259374e-05,1.9238754325259354e-05
1,1.0000000000000018e-05,2.9238754325259374e-05,1.9238754325259354e-05
1,1.0000000000000018e-05,2.9238754325259374e-05,1.9238754325259354e-05
1,1.0000000000000018e-05,2.9238754325259374e-05,1.9238754325259354e-05
1,1.2500000000000023e-05,3.1738281249999215e-05,1.9238281249999192e-05
1,1.7999999999999865e-05,3.7042714681440556e-05,1.904271468144069e-05
1,1.800000000000003e-05,3.7042714681440556e-05,1.9042714681440525e-05
1,1.800000000000003e-05,3.704271468144044e-05,1.904271468144041e-05
1,1.800000000000003e-05,3.698979591836769e-05,1.8989795918367662e-05
1,1.800000000000003e-05,3.698979591836769e-05,1.8989795918367662e-05
1,1.800000000000003e-05,3.6989795918367544e-05,1.8989795918367513e-05
1,1.0250000000000019e-05,2.9238754325259015e-05,1.8988754325258996e-05
1,3.825000000000007e-05,5.719135802469037e-05,1.89413580246903e-05
1,1.0250000000000019e-05,2.9064776274713765e-05,1.8814776274713746e-05
1,1.0000000000000018e-05,2.880693877551102e-05,1.8806938775511005e-05
1,1.0000000000000018e-05,2.8806938775510503e-05,1.8806938775510483e-05
1,1.0000000000000018e-05,2.8806938775510503e-05,1.8806938775510483e-05
1,3.624999999999962e-05,5.474489795918396e-05,1.849489795918434e-05
1,1.3250000000000024e-05,3.172000000000023e-05,1.8470000000000208e-05
1,1.3250000000000024e-05,3.1655990304708965e-05,1.840599030470894e-05
1,8.500000000000015e-06,2.6859504132231344e-05,1.8359504132231327e-05
1,1.3000000000000023e-05,3.1347222222221564e-05,1.834722222222154e-05
1,1.2999999999999913e-05,3.1250000000000055e-05,1.8250000000000142e-05
1,2.250000000000004e-05,4.0743801652892424e-05,1.8243801652892385e-05
1,8.500000000000015e-06,2.6717601344255277e-05,1.821760134425526e-05
1,2.250000000000004e-05,4.043714555765616e-05,1.793714555765612e-05
1,1.800000000000003e-05,3.587278106508903e-05,1.7872781065088997e-05
1,1.800000000000003e-05,3.587278106508903e-05,1.7872781065088997e-05
1,1.3000000000000023e-05,3.0694444444444505e-05,1.769444444444448e-05
1,1.625000000000003e-05,3.3926977989292144e-05,1.7676977989292115e-05
1,8.500000000000015e-06,2.6110586011342363e-05,1.7610586011342346e-05
1,8.500000000000015e-06,2.611058601134233e-05,1.7610586011342312e-05
1,8.500000000000015e-06,2.6110586011342244e-05,1.761058601134223e-05
1,8.500000000000015e-06,2.6110586011341987e-05,1.7610586011341973e-05
1,1.3000000000000023e-05,3.060941828254839e-05,1.760941828254837e-05
1,1.2999999999999913e-05,3.0609418282548156e-05,1.7609418282548243e-05
1,1.3000000000000023e-05,3.0531737773153086e-05,1.753173777315306e-05
1,1.625000000000003e-05,3.3640000000000105e-05,1.7390000000000076e-05
1,1.3000000000000023e-05,3.035123966942131e-05,1.735123966942129e-05
1,1.3000000000000023e-05,2.9855371900826186e-05,1.6855371900826162e-05
1,2.125000000000004e-05,3.804012345679003e-05,1.6790123456789995e-05
1,8.499999999999932e-06,2.5153061224489753e-05,1.665306122448982e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,8.500000000000015e-06,2.5153061224489753e-05,1.6653061224489736e-05
1,2.499999999999982e-05,4.1608996539792085e-05,1.6608996539792263e-05
1,2.1250000000000035e-05,3.78454570037859e-05,1.6595457003785868e-05
1,0.00011450000000000021,0.00013106234345606026,1.6562343456060055e-05
1,1.1249999999999853e-05,2.7739001189060718e-05,1.6489001189060864e-05
1,1.8250000000000034e-05,3.462950138504148e-05,1.6379501385041446e-05
1,2.425000000000004e-05,4.05557000000008e-05,1.630570000000076e-05
1,1.800000000000003e-05,3.4299307958477666e-05,1.6299307958477635e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,1.800000000000003e-05,3.4299307958477504e-05,1.6299307958477473e-05
1,2.1250000000000035e-05,3.7369927159209326e-05,1.611992715920929e-05
1,1.700000000000003e-05,3.311587344510582e-05,1.6115873445105787e-05
1,1.700000000000003e-05,3.309349890430977e-05,1.6093498904309737e-05
1,1.3000000000000023e-05,2.9044336441183014e-05,1.604433644118299e-05
1,1.3000000000000023e-05,2.9044336441181746e-05,1.6044336441181722e-05
1,9.250000000000016e-06,2.5017313019390686e-05,1.5767313019390667e-05
1,9.250000000000016e-06,2.501731301939049e-05,1.576731301939047e-05
1,2.4250000000000044e-05,4.000865051903099e-05,1.5758650519030947e-05
1,1.3250000000000024e-05,2.889999999999972e-05,1.5649999999999696e-05
1,1.0000000000000018e-05,2.5601961950059418e-05,1.5601961950059398e-05
1,1.0000000000000018e-05,2.558402705515125e-05,1.558402705515123e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.55840270551508e-05,1.5584027055150782e-05
1,1.0000000000000018e-05,2.5584027055150686e-05,1.5584027055150667e-05
1,1.0000000000000018e-05,2.5541420118343304e-05,1.5541420118343284e-05
1,1.0000000000000018e-05,2.5541420118343304e-05,1.5541420118343284e-05
1,1.800000000000003e-05,3.353268809349891e-05,1.553268809349888e-05
1,1.700000000000003e-05,3.2499999999999665e-05,1.5499999999999635e-05
1,1.1249999999999853e-05,2.6722222222222516e-05,1.5472222222222662e-05
1,1.3250000000000024e-05,2.8623100018765517e-05,1.5373100018765493e-05
1,1.0250000000000019e-05,2.5561728395061797e-05,1.531172839506178e-05
1,1.825000000000003e-05,3.349489795918365e-05,1.5244897959183618e-05
1,3.250000000000006e-05,4.771468144044263e-05,1.5214681440442574e-05
1,1.700000000000003e-05,3.21683673469389e-05,1.516836734693887e-05
1,1.5250000000000027e-05,3.0351239669421314e-05,1.5101239669421287e-05
1,1.0000000000000018e-05,2.5051652892562237e-05,1.5051652892562219e-05
1,1.0000000000000018e-05,2.501731301939079e-05,1.5017313019390773e-05
1,1.0000000000000018e-05,2.501731301939079e-05,1.5017313019390773e-05
1,1.0000000000000018e-05,2.5017313019390686e-05,1.5017313019390668e-05
1,1.0000000000000018e-05,2.5017313019390686e-05,1.5017313019390668e-05
1,4.1000000000000075e-05,5.5997164461247754e-05,1.4997164461247679e-05
1,1.1249999999999853e-05,2.6168212890625228e-05,1.4918212890625374e-05
1,1.1249999999999853e-05,2.6168212890625228e-05,1.4918212890625374e-05
1,1.1249999999999853e-05,2.6168212890625228e-05,1.4918212890625374e-05
1,1.1249999999999853e-05,2.6168212890625228e-05,1.4918212890625374e-05
1,1.1249999999999853e-05,2.6168212890625007e-05,1.4918212890625154e-05
1,1.0250000000000019e-05,2.515306122449003e-05,1.4903061224490012e-05
1,3.250000000000006e-05,4.734467455621268e-05,1.484467455621262e-05
1,1.1250000000000021e-05,2.6080246913579983e-05,1.4830246913579962e-05
1,3.7000000000000066e-05,5.175900277008274e-05,1.4759002770082671e-05
1,1.700000000000003e-05,3.165599030470934e-05,1.4655990304709307e-05
1,1.800000000000003e-05,3.249999999999987e-05,1.4499999999999837e-05
1,4.4999999999999915e-05,5.944999999999985e-05,1.4449999999999938e-05
1,1.3000000000000023e-05,2.7379607609988053e-05,1.437960760998803e-05
1,4.5000000000000084e-05,5.933316115702453e-05,1.4333161157024445e-05
1,1.2999999999999855e-05,2.7270761245674805e-05,1.427076124567495e-05
1,1.2999999999999855e-05,2.7270761245674805e-05,1.427076124567495e-05
1,1.2999999999999855e-05,2.7270761245674805e-05,1.427076124567495e-05
1,1.2999999999999855e-05,2.7270761245674805e-05,1.427076124567495e-05
1,1.1250000000000021e-05,2.5363520408162955e-05,1.4113520408162934e-05
1,1.1250000000000021e-05,2.531738281250077e-05,1.4067382812500748e-05
1,7.625000000000013e-05,9.027777777777834e-05,1.402777777777821e-05
1,1.625000000000003e-05,2.9855371900826837e-05,1.3605371900826808e-05
1,1.3250000000000024e-05,2.681841831425576e-05,1.3568418314255735e-05
1,1.5250000000000028e-05,2.880693877551102e-05,1.3556938775510992e-05
1,1.3000000000000023e-05,2.653061224489812e-05,1.3530612244898096e-05
1,1.3000000000000023e-05,2.653061224489812e-05,1.3530612244898096e-05
1,1.5250000000000027e-05,2.8758650519030636e-05,1.3508650519030609e-05
1,3.425000000000006e-05,4.773527721918972e-05,1.3485277219189658e-05
1,1.8250000000000034e-05,3.1655990304708755e-05,1.3405990304708721e-05
1,9.250000000000016e-06,2.257812500000022e-05,1.3328125000000202e-05
1,1.3250000000000024e-05,2.656250000000005e-05,1.3312500000000025e-05
1,2.1250000000000035e-05,3.455078124999941e-05,1.3300781249999377e-05
